time,value
1533592203.539,846
1533592203.548,879
1533592203.565,879
1533592203.575,894
1533592203.59,904
1533592203.604,918
1533592203.614,927
1533592203.638,913
1533592203.647,925
1533592203.672,918
1533592203.697,918
1533592203.705,931
1533592203.725,920
1533592203.741,911
1533592203.755,906
1533592203.785,918
1533592203.838,915
1533592203.848,916
1533592203.884,901
1533592203.894,916
1533592203.91,913
1533592203.922,909
1533592203.935,926
1533592203.952,925
1533592204.012,912
1533592204.028,903
1533592204.102,924
1533592204.112,905
1533592204.127,915
1533592204.144,906
1533592204.152,908
1533592204.161,916
1533592204.194,922
1533592204.235,906
1533592204.284,924
1533592204.298,905
1533592204.31,910
1533592204.349,912
1533592204.368,925
1533592204.379,904
1533592204.41,917
1533592204.42,913
1533592204.449,913
1533592204.468,912
1533592204.484,932
1533592204.491,913
1533592204.504,911
1533592204.517,905
1533592204.534,912
1533592204.56,918
1533592204.575,909
1533592204.592,916
1533592204.61,918
1533592204.634,921
1533592204.641,905
1533592204.666,925
1533592204.691,911
1533592204.722,928
1533592204.732,936
1533592204.759,916
1533592204.801,910
1533592204.807,906
1533592204.824,914
1533592204.841,907
1533592204.867,904
1533592204.883,906
1533592204.915,904
1533592204.932,906
1533592204.943,901
1533592204.962,904
1533592204.974,899
1533592204.983,903
1533592205.0,907
1533592205.025,896
1533592205.048,907
1533592205.081,908
1533592205.179,925
1533592205.246,928
1533592205.272,905
1533592205.346,922
1533592205.375,905
1533592205.405,910
1533592205.413,906
1533592205.447,913
1533592205.466,911
1533592205.478,937
1533592205.507,901
1533592205.513,923
1533592205.539,921
1533592205.546,941
1533592205.562,916
1533592205.571,921
1533592205.628,925
1533592205.637,910
1533592205.647,908
1533592205.654,918
1533592205.663,920
1533592205.673,904
1533592205.688,908
1533592205.697,921
1533592205.728,909
1533592205.737,913
1533592205.754,918
1533592205.811,935
1533592205.885,926
1533592205.961,908
1533592206.17,931
1533592206.202,917
1533592206.251,923
1533592206.358,937
1533592206.386,923
1533592206.408,922
1533592206.416,936
1533592206.433,937
1533592206.441,922
1533592206.458,939
1533592206.508,938
1533592206.536,944
1533592206.557,959
1533592206.566,972
1533592206.578,977
1533592206.591,995
1533592206.602,998
1533592206.616,1023
1533592206.627,1031
1533592206.641,1028
1533592206.649,1030
1533592206.657,1032
1533592206.666,1044
1533592206.674,1028
1533592206.683,1021
1533592206.691,1031
1533592206.699,1030
