time,value
1533592098.038,865
1533592098.081,863
1533592098.127,903
1533592098.178,898
1533592098.187,904
1533592098.21,896
1533592098.22,894
1533592098.261,928
1533592098.286,905
1533592098.353,920
1533592098.385,904
1533592098.392,918
1533592098.426,918
1533592098.45,919
1533592098.469,921
1533592098.496,924
1533592098.518,936
1533592098.601,923
1533592098.61,920
1533592098.637,921
1533592098.654,917
1533592098.668,925
1533592098.708,945
1533592098.719,910
1533592098.754,918
1533592098.774,936
1533592098.784,924
1533592098.791,929
1533592098.799,921
1533592098.81,940
1533592098.83,928
1533592098.844,941
1533592098.859,939
1533592098.875,917
1533592098.882,932
1533592098.892,927
1533592098.909,924
1533592098.916,918
1533592098.935,927
1533592098.95,936
1533592098.966,934
1533592098.975,938
1533592098.982,953
1533592098.991,932
1533592099.021,924
1533592099.172,921
1533592099.238,931
1533592099.313,924
1533592099.372,937
1533592099.495,941
1533592099.571,927
1533592099.78,938
1533592099.91,935
1533592099.947,924
1533592099.962,919
1533592099.97,933
1533592099.977,924
1533592100.019,931
1533592100.027,918
1533592100.038,937
1533592100.069,919
1533592100.094,932
1533592100.102,925
1533592100.117,925
1533592100.127,922
1533592100.143,931
1533592100.193,933
1533592100.251,921
1533592100.317,917
1533592100.379,923
1533592100.416,927
1533592100.451,925
1533592100.477,924
1533592100.486,923
1533592100.502,911
1533592100.523,944
1533592100.55,912
1533592100.625,921
1533592100.65,914
1533592100.658,896
1533592100.671,916
1533592100.683,920
1533592100.691,917
1533592100.7,918
1533592100.708,902
1533592100.716,910
1533592100.725,917
1533592100.769,905
1533592100.775,920
1533592100.791,910
1533592100.819,917
1533592100.836,930
1533592100.851,924
1533592100.876,917
1533592100.883,906
1533592100.925,924
1533592100.932,922
1533592100.99,921
1533592101.055,924
1533592101.081,913
1533592101.114,917
1533592101.139,920
1533592101.152,930
1533592101.165,915
1533592101.19,930
1533592101.198,922
1533592101.206,919
1533592101.239,919
1533592101.248,926
1533592101.256,917
1533592101.304,898
1533592101.362,927
1533592101.388,918
1533592101.432,924
1533592101.447,929
1533592101.458,916
1533592101.472,927
1533592101.479,930
1533592101.496,921
1533592101.518,917
1533592101.53,924
1533592101.539,931
1533592101.679,925
1533592101.687,921
1533592101.718,938
1533592101.731,926
1533592101.81,934
1533592101.829,924
1533592101.837,935
1533592101.877,936
1533592101.889,918
1533592101.903,930
1533592101.915,931
1533592101.929,930
1533592101.945,919
1533592101.953,914
1533592101.961,941
1533592101.977,923
1533592101.989,924
1533592102.117,939
1533592102.276,923
1533592102.284,925
1533592102.349,931
1533592102.4,923
1533592102.408,948
1533592102.426,936
1533592102.437,938
1533592102.452,945
1533592102.492,935
1533592102.5,935
1533592102.511,931
1533592102.528,938
1533592102.541,931
1533592102.551,948
1533592102.559,938
1533592102.566,924
1533592102.575,944
1533592102.584,942
1533592102.616,927
1533592102.673,932
1533592102.683,915
1533592102.703,935
1533592102.731,929
1533592102.758,939
1533592102.79,919
1533592102.824,931
1533592102.948,930
1533592103.014,927
1533592103.147,939
1533592103.29,942
1533592103.357,935
1533592103.664,958
1533592103.671,955
1533592103.683,944
1533592103.699,951
1533592103.715,951
1533592103.729,942
1533592103.74,938
1533592103.766,921
1533592103.781,936
1533592103.795,930
1533592103.804,942
1533592103.813,943
1533592103.822,937
1533592103.847,944
1533592103.902,954
1533592103.91,942
1533592103.959,946
1533592103.995,968
1533592104.002,948
1533592104.053,928
1533592104.06,941
1533592104.152,954
1533592104.217,938
1533592104.229,945
1533592104.245,932
1533592104.299,948
1533592104.311,933
1533592104.354,939
1533592104.379,944
1533592104.499,945
1533592104.574,944
1533592104.607,953
