time,value
1533592159.158,833
1533592159.195,886
1533592159.212,896
1533592159.23,897
1533592159.258,908
1533592159.268,898
1533592159.305,894
1533592159.319,897
1533592159.359,911
1533592159.392,906
1533592159.405,904
1533592159.416,898
1533592159.431,903
1533592159.454,908
1533592159.468,917
1533592159.482,891
1533592159.5,896
1533592159.517,915
1533592159.535,906
1533592159.559,900
1533592159.615,908
1533592159.703,906
1533592159.715,915
1533592159.773,909
1533592159.797,905
1533592159.804,923
1533592159.836,901
1533592159.848,915
1533592159.863,908
1533592159.878,912
1533592159.887,901
1533592159.919,915
1533592159.93,903
1533592159.947,906
1533592159.969,914
1533592160.019,902
1533592160.027,904
1533592160.036,902
1533592160.061,908
1533592160.069,909
1533592160.077,907
1533592160.101,896
1533592160.11,908
1533592160.14,909
1533592160.159,906
1533592160.173,907
1533592160.188,934
1533592160.211,892
1533592160.233,906
1533592160.247,907
1533592160.27,910
1533592160.277,908
1533592160.309,898
1533592160.323,913
1533592160.343,902
1533592160.354,908
1533592160.378,907
1533592160.433,913
1533592160.458,904
1533592160.466,908
1533592160.477,908
1533592160.493,901
1533592160.51,902
1533592160.543,918
1533592160.553,910
1533592160.567,922
1533592160.586,897
1533592160.608,901
1533592160.625,917
1533592160.651,910
1533592160.677,902
1533592160.709,904
1533592160.757,900
1533592160.799,923
1533592160.807,905
1533592160.815,923
1533592160.826,924
1533592160.84,924
1533592160.849,896
1533592160.866,912
1533592160.874,903
1533592160.883,914
1533592160.904,893
1533592160.925,935
1533592160.947,893
1533592161.014,921
1533592161.022,896
1533592161.04,919
1533592161.048,927
1533592161.108,932
1533592161.148,942
1533592161.181,940
1533592161.214,953
1533592161.231,954
1533592161.289,948
1533592161.346,964
1533592161.421,952
1533592161.562,976
1533592161.771,950
1533592161.805,937
1533592161.811,969
1533592161.821,952
1533592161.836,954
1533592161.861,972
1533592161.873,940
1533592161.911,958
1533592161.92,953
1533592161.938,956
1533592161.971,945
1533592162.004,948
1533592162.037,952
1533592162.071,949
1533592162.121,949
1533592162.146,938
1533592162.153,953
1533592162.161,954
1533592162.21,945
1533592162.227,943
1533592162.279,945
1533592162.311,943
1533592162.318,938
1533592162.329,949
1533592162.343,952
1533592162.354,941
1533592162.368,942
1533592162.38,936
1533592162.405,936
1533592162.421,952
1533592162.459,956
1533592162.467,949
1533592162.524,923
1533592162.55,926
1533592162.558,924
1533592162.566,933
1533592162.583,912
1533592162.621,937
1533592162.642,923
1533592162.66,930
1533592162.678,959
1533592162.71,924
1533592162.732,924
1533592162.741,923
1533592162.755,935
1533592162.774,954
1533592162.81,913
1533592162.834,926
1533592162.849,929
1533592162.856,936
1533592162.87,931
1533592162.892,933
1533592162.905,912
1533592162.923,932
1533592162.944,899
1533592162.965,906
1533592162.976,911
1533592162.999,927
1533592163.006,904
1533592163.015,927
1533592163.023,942
1533592163.032,872
1533592163.039,944
1533592163.048,931
1533592163.056,925
1533592163.065,916
1533592163.073,927
1533592163.082,910
1533592163.099,921
1533592163.123,938
1533592163.134,925
1533592163.148,915
1533592163.16,915
1533592163.183,914
1533592163.197,918
1533592163.215,922
1533592163.253,904
1533592163.281,908
1533592163.288,907
1533592163.297,908
1533592163.316,946
1533592163.33,908
1533592163.353,886
1533592163.382,917
1533592163.399,917
1533592163.428,902
1533592163.437,891
1533592163.449,880
1533592163.465,893
1533592163.481,902
1533592163.489,892
1533592163.502,876
1533592163.513,899
1533592163.528,898
1533592163.539,929
1533592163.546,889
1533592163.555,885
1533592163.563,873
1533592163.57,893
1533592163.582,897
1533592163.595,910
1533592163.603,901
1533592163.612,884
1533592163.62,893
1533592163.628,896
1533592163.636,883
1533592163.647,906
1533592163.654,901
1533592163.668,895
1533592163.681,892
1533592163.708,885
1533592163.72,881
1533592163.76,878
1533592163.778,906
1533592163.792,881
1533592163.805,893
1533592163.819,891
1533592163.832,884
1533592163.853,891
1533592163.89,907
1533592163.912,898
1533592163.92,897
1533592163.935,919
1533592163.945,896
1533592163.961,898
1533592163.971,902
1533592163.994,908
1533592164.013,900
1533592164.05,897
1533592164.06,893
1533592164.078,882
1533592164.085,884
1533592164.104,875
1533592164.11,867
1533592164.124,869
1533592164.144,850
1533592164.155,859
1533592164.176,856
1533592164.185,870
1533592164.21,875
1533592164.217,870
1533592164.229,873
1533592164.259,876
1533592164.293,885
1533592164.301,894
1533592164.311,883
1533592164.319,893
1533592164.325,864
1533592164.335,876
1533592164.344,883
1533592164.361,852
1533592164.375,799
1533592164.391,778
1533592164.418,779
1533592164.428,796
1533592164.448,828
